subset,series,mean,p10,p50,p90,n_conflict_pairs,n_control_pairs,separation_auc,model,dtype,gate_pass,parse_coverage
sh_6k,whole_blob_sim,0.9547497630119324,0.9127784371376038,0.9636123776435852,0.9831693172454834,160,159,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.56
sh_6k,control_whole_blob_sim,0.6047795414924622,0.5312103629112244,0.5976653099060059,0.6893954277038574,160,159,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.56
sh_6k,diff_sim,0.7049170136451721,0.5836061835289001,0.6872348785400391,0.8270344138145447,160,159,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.56
sh_6k,qr_residual_new_vs_old,0.19911977648735046,0.11353959888219833,0.19440898299217224,0.2846689522266388,160,159,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.56
sh_32k,whole_blob_sim,0.955725371837616,0.9158294200897217,0.963786244392395,0.9841615557670593,835,830,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.65
sh_32k,control_whole_blob_sim,0.6062317490577698,0.5269215106964111,0.6050881147384644,0.6846204400062561,835,830,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.65
sh_32k,diff_sim,0.7090187072753906,0.596757173538208,0.7125017642974854,0.8114863634109497,835,830,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.65
sh_32k,qr_residual_new_vs_old,0.20951522886753082,0.10172173380851746,0.2051519751548767,0.3258793354034424,835,830,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.65
sh_64k,whole_blob_sim,0.9557351469993591,0.9167003631591797,0.9638358354568481,0.9838905930519104,1687,1685,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.63
sh_64k,control_whole_blob_sim,0.6037126779556274,0.518696665763855,0.6020547747612,0.6848036050796509,1687,1685,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.63
sh_64k,diff_sim,0.710504949092865,0.598736047744751,0.7165297269821167,0.8077889680862427,1687,1685,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.63
sh_64k,qr_residual_new_vs_old,0.2568914294242859,0.12509769201278687,0.27378544211387634,0.3495641350746155,1687,1685,1.0,Qwen/Qwen3-Embedding-4B,float32,True,99.63
sh_262k,whole_blob_sim,0.9570436477661133,0.9200060963630676,0.9641435742378235,0.9838284850120544,7197,7197,0.9999,Qwen/Qwen3-Embedding-4B,float32,True,99.47
sh_262k,control_whole_blob_sim,0.6125486493110657,0.5315588116645813,0.6108647584915161,0.6933512687683105,7197,7197,0.9999,Qwen/Qwen3-Embedding-4B,float32,True,99.47
sh_262k,diff_sim,0.7145408391952515,0.6054810881614685,0.7239236831665039,0.8046138882637024,7197,7197,0.9999,Qwen/Qwen3-Embedding-4B,float32,True,99.47
sh_262k,qr_residual_new_vs_old,0.29054510593414307,0.2255970984697342,0.2948337495326996,0.3580528497695923,7197,7197,0.9999,Qwen/Qwen3-Embedding-4B,float32,True,99.47
