subset,tau,precision,recall,f1
sh_6k,0.5,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.51,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.52,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.53,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.54,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.55,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.56,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.57,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.58,0.05089058524173028,1.0,0.09685230024213075
sh_6k,0.59,0.050955414012738856,1.0,0.09696969696969697
sh_6k,0.6,0.051118210862619806,1.0,0.0972644376899696
sh_6k,0.61,0.05124919923126201,1.0,0.09750152346130408
sh_6k,0.62,0.05141388174807198,1.0,0.09779951100244498
sh_6k,0.63,0.0517464424320828,1.0,0.0984009840098401
sh_6k,0.64,0.05194805194805195,1.0,0.09876543209876544
sh_6k,0.65,0.05240746806419915,1.0,0.09959539371304078
sh_6k,0.66,0.05289256198347107,1.0,0.10047095761381476
sh_6k,0.67,0.053493814777666335,1.0,0.10155506188511584
sh_6k,0.68,0.05425567989148864,1.0,0.10292698616918623
sh_6k,0.69,0.055865921787709494,1.0,0.10582010582010581
sh_6k,0.7,0.058330295297119944,1.0,0.11023079572855668
sh_6k,0.71,0.061208875286916604,1.0,0.11535688536409516
sh_6k,0.72,0.0645421540943929,1.0,0.12125805229253506
sh_6k,0.73,0.06935413957520589,1.0,0.12971220105391162
sh_6k,0.74,0.07622677465459743,1.0,0.1416555998229305
sh_6k,0.75,0.08592910848549946,1.0,0.15825914935707222
sh_6k,0.76,0.09815950920245399,1.0,0.17877094972067037
sh_6k,0.77,0.11461318051575932,1.0,0.20565552699228792
sh_6k,0.78,0.13125512715340443,1.0,0.23205221174764323
sh_6k,0.79,0.15579357351509251,1.0,0.2695871946082561
sh_6k,0.8,0.18475750577367206,1.0,0.31189083820662766
sh_6k,0.81,0.2206896551724138,1.0,0.3615819209039548
sh_6k,0.82,0.2702702702702703,1.0,0.4255319148936171
sh_6k,0.83,0.32064128256513025,1.0,0.48558421851289835
sh_6k,0.84,0.37149532710280375,0.99375,0.5408163265306122
sh_6k,0.85,0.43561643835616437,0.99375,0.6057142857142856
sh_6k,0.86,0.5096774193548387,0.9875,0.672340425531915
sh_6k,0.87,0.6124031007751938,0.9875,0.7559808612440192
sh_6k,0.88,0.6977777777777778,0.98125,0.8155844155844156
sh_6k,0.89,0.7586206896551724,0.9625,0.8484848484848484
sh_6k,0.9,0.8052631578947368,0.95625,0.8742857142857143
sh_6k,0.91,0.8604651162790697,0.925,0.891566265060241
sh_6k,0.92,0.9019607843137255,0.8625,0.8817891373801916
sh_6k,0.93,0.9436619718309859,0.8375,0.8874172185430463
sh_6k,0.94,0.9365079365079365,0.7375,0.8251748251748251
sh_6k,0.95,0.9298245614035088,0.6625,0.7737226277372262
sh_6k,0.96,0.9340659340659341,0.53125,0.6772908366533865
sh_6k,0.97,0.967741935483871,0.375,0.5405405405405406
sh_6k,0.98,0.9655172413793104,0.175,0.29629629629629634
sh_6k,0.99,1.0,0.0125,0.02469135802469136
sh_32k,0.5,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.51,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.52,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.53,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.54,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.55,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.56,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.57,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.58,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.59,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.6,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.61,0.04979129397734049,1.0,0.0948594149389378
sh_32k,0.62,0.049806143751864006,1.0,0.09488636363636364
sh_32k,0.63,0.0498328956791597,1.0,0.09493490989710648
sh_32k,0.64,0.049853722610305094,1.0,0.0949727024567789
sh_32k,0.65,0.049877546144196885,1.0,0.09501593081474738
sh_32k,0.66,0.04990437485058571,1.0,0.09506460977970059
sh_32k,0.67,0.05000598874116661,1.0,0.09524895910568643
sh_32k,0.68,0.05016521477921298,1.0,0.09553775743707095
sh_32k,0.69,0.0504409810317748,1.0,0.09603772499856232
sh_32k,0.7,0.050874306951806496,1.0,0.09682282003710575
sh_32k,0.71,0.05148282878105925,1.0,0.09792424064735546
sh_32k,0.72,0.05248271527341295,1.0,0.09973126306360108
sh_32k,0.73,0.0539057456423499,1.0,0.10229709035222051
sh_32k,0.74,0.05617221661621258,1.0,0.10636942675159235
sh_32k,0.75,0.05874903257581088,1.0,0.11097820308346625
sh_32k,0.76,0.06212797619047619,1.0,0.1169877408056042
sh_32k,0.77,0.06701444622792938,1.0,0.12561113200451296
sh_32k,0.78,0.07371766575439216,1.0,0.13731294195033714
sh_32k,0.79,0.08190289357528201,1.0,0.15140525838621943
sh_32k,0.8,0.09331694233348234,1.0,0.1707042829397935
sh_32k,0.81,0.10832900882200311,1.0,0.19548168090834603
sh_32k,0.82,0.12761730093229406,1.0,0.22634860395771214
sh_32k,0.83,0.15425826713467578,1.0,0.2672855313700384
sh_32k,0.84,0.18530066815144766,0.9964071856287425,0.3124882629107981
sh_32k,0.85,0.22514937533948942,0.9928143712574851,0.36705778171352665
sh_32k,0.86,0.27466666666666667,0.9868263473053892,0.4297262059973924
sh_32k,0.87,0.3363412633305988,0.9820359281437125,0.5010693553315001
sh_32k,0.88,0.41185410334346506,0.9736526946107784,0.5788536845852617
sh_32k,0.89,0.4892966360856269,0.9580838323353293,0.6477732793522268
sh_32k,0.9,0.5810711665443874,0.948502994011976,0.7206551410373065
sh_32k,0.91,0.6754155730533683,0.9245508982035928,0.7805864509605661
sh_32k,0.92,0.767223382045929,0.8802395209580839,0.8198549916341328
sh_32k,0.93,0.8473748473748474,0.8311377245508982,0.8391777509068924
sh_32k,0.94,0.9167862266857962,0.7652694610778443,0.8342036553524804
sh_32k,0.95,0.9451827242524917,0.681437125748503,0.791927627000696
sh_32k,0.96,0.9667359667359667,0.5568862275449101,0.7066869300911854
sh_32k,0.97,0.9759036144578314,0.38802395209580837,0.5552699228791774
sh_32k,0.98,0.9875776397515528,0.19041916167664671,0.31927710843373497
sh_32k,0.99,0.9333333333333333,0.016766467065868262,0.03294117647058823
sh_64k,0.5,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.51,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.52,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.53,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.54,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.55,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.56,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.57,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.58,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.59,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.6,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.61,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.62,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.63,0.04997778106947119,1.0,0.0951977879352181
sh_64k,0.64,0.04998666627159323,1.0,0.09521390676148549
sh_64k,0.65,0.04999407302038881,1.0,0.0952273432869521
sh_64k,0.66,0.05001482359916988,1.0,0.09526498574131066
sh_64k,0.67,0.05004598178527989,1.0,0.09532150525483105
sh_64k,0.68,0.05016354445435623,1.0,0.0955347283178073
sh_64k,0.69,0.05031915528246734,1.0,0.09581688580921818
sh_64k,0.7,0.05053318955188114,1.0,0.09620484160702573
sh_64k,0.71,0.050877616261535676,1.0,0.09682881331611422
sh_64k,0.72,0.05140941642541521,1.0,0.09779143238073155
sh_64k,0.73,0.0522663196703535,1.0,0.09934047815333884
sh_64k,0.74,0.05355555555555556,1.0,0.10166631512339169
sh_64k,0.75,0.05529153420078005,1.0,0.10478911733648053
sh_64k,0.76,0.05771072796934866,1.0,0.10912383971021054
sh_64k,0.77,0.060711843667902256,1.0,0.11447377349528398
sh_64k,0.78,0.06462858675248055,1.0,0.12141057934508816
sh_64k,0.79,0.06979149429091511,1.0,0.13047681658223442
sh_64k,0.8,0.07705307390152553,1.0,0.14308129426232985
sh_64k,0.81,0.08667043643653935,0.999407231772377,0.15950804162724694
sh_64k,0.82,0.09939279608559806,0.999407231772377,0.1808042895442359
sh_64k,0.83,0.11584444139068298,0.999407231772377,0.20762268333230713
sh_64k,0.84,0.1385502471169687,0.997036158861885,0.24329210964055833
sh_64k,0.85,0.1678524902294819,0.992886781268524,0.28715926624378535
sh_64k,0.86,0.20663612727497832,0.989330171902786,0.34186808684965175
sh_64k,0.87,0.25731084635618134,0.9857735625370481,0.4080981595092025
sh_64k,0.88,0.3180327868852459,0.977474807350326,0.47991850989522705
sh_64k,0.89,0.3967364831953239,0.965619442797866,0.5624029000517866
sh_64k,0.9,0.5020306154326772,0.95257854179016,0.6575286415711947
sh_64k,0.91,0.6073094867807154,0.9259039715471251,0.733505517727166
sh_64k,0.92,0.717505995203837,0.8867812685240071,0.7932131495227996
sh_64k,0.93,0.81531268264173,0.8269116775340841,0.8210712183637433
sh_64k,0.94,0.8962131837307152,0.7575577949021932,0.8210729200128493
sh_64k,0.95,0.9351395730706076,0.6751630112625964,0.7841652323580034
sh_64k,0.96,0.96794208893485,0.5548310610551275,0.7053504144687264
sh_64k,0.97,0.9806835066864784,0.3912270302311796,0.559322033898305
sh_64k,0.98,0.9903225806451613,0.1819798458802608,0.3074611917876815
sh_64k,0.99,0.9655172413793104,0.016597510373443983,0.03263403263403263
sh_262k,0.5,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.51,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.52,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.53,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.54,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.55,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.56,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.57,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.58,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.59,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.6,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.61,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.62,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.63,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.64,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.65,0.052916283348666056,1.0,0.10051375249012687
sh_262k,0.66,0.05291823066166188,1.0,0.10051726548301412
sh_262k,0.67,0.05292173618624918,1.0,0.10052358948906333
sh_262k,0.68,0.05292757975943348,1.0,0.1005341312676529
sh_262k,0.69,0.05294316893215322,1.0,0.10056225348960812
sh_262k,0.7,0.052985305605093666,1.0,0.10063826213537876
sh_262k,0.71,0.053050985021766396,1.0,0.1007567264573991
sh_262k,0.72,0.053163564842542685,1.0,0.10095974949625439
sh_262k,0.73,0.05337193334075641,1.0,0.10133540044395897
sh_262k,0.74,0.053724473403023214,1.0,0.1019706284879557
sh_262k,0.75,0.054248183553520096,1.0,0.10291349684031233
sh_262k,0.76,0.055107186927563556,1.0,0.10445798798515213
sh_262k,0.77,0.056269467357448075,1.0,0.10654377333886551
sh_262k,0.78,0.05791707949703165,1.0,0.10949266368696367
sh_262k,0.79,0.06013817561350976,1.0,0.11345346672136838
sh_262k,0.8,0.06306258882981523,0.9997218358831711,0.11864127026045622
sh_262k,0.81,0.06695921143346936,0.9995827538247566,0.12551080996123085
sh_262k,0.82,0.07239572839008664,0.9994436717663422,0.13501174260216062
sh_262k,0.83,0.07967734061203205,0.9987482614742699,0.14758107608204202
sh_262k,0.84,0.09003300164380812,0.997913769123783,0.16516464670879227
sh_262k,0.85,0.10389440669106116,0.9951321279554938,0.18814588866391438
sh_262k,0.86,0.1234866828087167,0.9930458970792768,0.21965851407475775
sh_262k,0.87,0.14935705145686057,0.9902642559109874,0.2595650826634585
sh_262k,0.88,0.18198235385171044,0.9810848400556328,0.3070160167130919
sh_262k,0.89,0.22480121044329265,0.9712100139082058,0.36509554806158995
sh_262k,0.9,0.2815526013458067,0.9543810848400557,0.4348266903238071
sh_262k,0.91,0.3596910037015182,0.9325452016689847,0.5191436645890597
sh_262k,0.92,0.46005117998294,0.9001390820584144,0.6089001787562329
sh_262k,0.93,0.5887778631821675,0.8522948539638386,0.6964427775883621
sh_262k,0.94,0.722528529298628,0.7837273991655076,0.7518847154580024
sh_262k,0.95,0.8292198111644856,0.6962447844228095,0.7569365691388826
sh_262k,0.96,0.8946904604538445,0.5648122392211404,0.6924716514621877
sh_262k,0.97,0.9325732899022802,0.398191933240612,0.5580896686159844
sh_262k,0.98,0.9533381191672649,0.1847009735744089,0.30944891063730634
sh_262k,0.99,0.90625,0.016133518776077885,0.031702650997540306
