cos_pair,r_min_label,r_min,ambiguity_mode,nli_contradiction,pair_filter,n_verified,n_true_supersession,n_fv_diff_key,n_fv_same_object,fv_rate_recomputed,helped,harmed,net
0.9,frozen,0.192366,all,0.5,True,282,282,0,0,0.0,1,3,-2
0.9,frozen,0.192366,all,0.5,False,5449,322,5127,0,0.940907,2,1,1
0.9,frozen,0.192366,all,0.9,True,282,282,0,0,0.0,1,3,-2
0.9,frozen,0.192366,all,0.9,False,5440,322,5118,0,0.940809,2,1,1
0.9,frozen,0.192366,all,0.99,True,282,282,0,0,0.0,1,3,-2
0.9,frozen,0.192366,all,0.99,False,5390,321,5069,0,0.940445,2,1,1
0.9,frozen,0.192366,any,0.5,True,834,834,0,0,0.0,2,6,-4
0.9,frozen,0.192366,any,0.5,False,13819,923,12896,0,0.933208,3,4,-1
0.9,frozen,0.192366,any,0.9,True,834,834,0,0,0.0,2,6,-4
0.9,frozen,0.192366,any,0.9,False,13809,923,12886,0,0.93316,3,4,-1
0.9,frozen,0.192366,any,0.99,True,834,834,0,0,0.0,2,6,-4
0.9,frozen,0.192366,any,0.99,False,13736,922,12814,0,0.932877,3,4,-1
0.9,frozen,0.192366,none,0.5,True,1783,1783,0,0,0.0,6,6,0
0.9,frozen,0.192366,none,0.5,False,27265,1950,25315,0,0.92848,8,5,3
0.9,frozen,0.192366,none,0.9,True,1783,1783,0,0,0.0,6,6,0
0.9,frozen,0.192366,none,0.9,False,27246,1950,25296,0,0.92843,8,5,3
0.9,frozen,0.192366,none,0.99,True,1783,1783,0,0,0.0,6,6,0
0.9,frozen,0.192366,none,0.99,False,27117,1949,25168,0,0.928126,8,5,3
0.9,loose,0.44,all,0.5,True,387,387,0,0,0.0,1,3,-2
0.9,loose,0.44,all,0.5,False,5579,387,5192,0,0.930633,2,3,-1
0.9,loose,0.44,all,0.9,True,387,387,0,0,0.0,1,3,-2
0.9,loose,0.44,all,0.9,False,5570,387,5183,0,0.930521,2,3,-1
0.9,loose,0.44,all,0.99,True,384,384,0,0,0.0,1,3,-2
0.9,loose,0.44,all,0.99,False,5516,384,5132,0,0.930384,2,3,-1
0.9,loose,0.44,any,0.5,True,1213,1213,0,0,0.0,3,6,-3
0.9,loose,0.44,any,0.5,False,14310,1213,13097,0,0.915234,4,6,-2
0.9,loose,0.44,any,0.9,True,1213,1213,0,0,0.0,3,6,-3
0.9,loose,0.44,any,0.9,False,14299,1213,13086,0,0.915169,4,6,-2
0.9,loose,0.44,any,0.99,True,1210,1210,0,0,0.0,3,6,-3
0.9,loose,0.44,any,0.99,False,14217,1210,13007,0,0.914891,4,6,-2
0.9,loose,0.44,none,0.5,True,2673,2673,0,0,0.0,6,7,-1
